1914Babe Ruth:2:1:0:0:10
1915Babe Ruth:29:10:1:4:92
1916Babe Ruth:37:5:3:3:136
1917Babe Ruth:40:6:3:2:123
1918Babe Ruth:95:26:11:11:317
1919Babe Ruth:139:34:12:29:432
1920Babe Ruth:172:36:9:54:458
1921Babe Ruth:204:44:16:59:540
1922Babe Ruth:128:24:8:35:406
1923Babe Ruth:205:45:13:41:522
1924Babe Ruth:200:39:7:46:529
1925Babe Ruth:104:12:2:25:359
1926Babe Ruth:184:30:5:47:495
1927Babe Ruth:192:29:8:60:540
1928Babe Ruth:173:29:8:54:536
1929Babe Ruth:172:26:6:46:499
1930Babe Ruth:186:28:9:49:518
1931Babe Ruth:199:31:3:46:534
1932Babe Ruth:156:13:5:41:457
1933Babe Ruth:138:21:3:34:459
1934Babe Ruth:105:17:4:22:365
1935Babe Ruth:13:0:0:6:72
